from_city_name,from_airport_code,to_city_name,to_airport_code,distance_km,flight_duration_minutes,total_journey_time_mins
Brussels,BRU,Munich,MUC,598,75,254.33
Brussels,BRU,Malaga,AGP,1734,175,323.04
Brussels,BRU,Rome,FCO,1173,125,294.41
Brussels,BRU,Copenhagen,CPH,756,90,236.99
Brussels,BRU,Lisbon,LIS,1718,175,319.15
Brussels,BRU,Milan,LIN,701,85,231.64
Brussels,BRU,Warsaw,WAW,1150,120,266.75
Brussels,BRU,Dublin,DUB,785,105,254.16
Brussels,BRU,Berlin,BER,645,85,248.62
Brussels,BRU,Amsterdam,AMS,158,55,208.17
Brussels,BRU,Stockholm,ARN,1291,130,320.87
Brussels,BRU,Athens,ATH,2103,180,345.97
Brussels,BRU,Helsinki,HEL,1651,155,315.82
Brussels,BRU,Hamburg,HAM,484,70,219.74
Brussels,BRU,Prague,PRG,699,85,238.01
Brussels,BRU,Budapest,BUD,1142,115,276.86
Brussels,BRU,Paris,CDG,251,60,230.09
Brussels,BRU,Valencia,VLC,1325,135,284.18
Brussels,BRU,Lyon,LYS,577,85,249.87
Brussels,BRU,Marseille,MRS,830,100,266.32
Brussels,BRU,Milan,MXP,664,85,283.05
Brussels,BRU,Toulouse,TLS,841,100,245.6
Brussels,BRU,Gothenburg,GOT,907,100,266.14
Brussels,BRU,Zagreb,ZAG,1031,125,277.69
Brussels,BRU,Riga,RIX,1439,143,291.52
Brussels,BRU,Las Palmas,LPA,3049,300,469.27
Brussels,BRU,Naples,NAP,1345,140,286.42
Brussels,BRU,Sevilla,SVQ,1708,160,309.31
Brussels,BRU,Ljubljana,LJU,899,100,266.7
Brussels,BRU,Malta,MLA,1854,170,314.58
Brussels,BRU,Bucharest,OTP,1757,160,319.51
Brussels,BRU,Tallinn,TLL,1594,145,286.85
Brussels,BRU,Vilnius,VNO,1457,140,283.52
Brussels,BRU,Krakow,KRK,1088,120,271.7
Brussels,BRU,Sofia,SOF,1701,150,296.7
Bratislava,BTS,Milan,BGY,636,90,290.26
Bratislava,BTS,Dublin,DUB,1744,185,330.26
Bratislava,BTS,Larnaca,LCA,2005,180,372.53
Bratislava,BTS,Malta,MLA,1386,140,280.68
Bratislava,BTS,Brussels,CRL,960,115,312.78
Bratislava,BTS,Eindhoven,EIN,924,115,282.78
Bratislava,BTS,Athens,ATH,1261,120,282.07
Bratislava,BTS,Rome,CIA,795,95,247.94
Bratislava,BTS,Sofia,SOF,778,90,232.79
Bratislava,BTS,Milan,MXP,706,95,289.14
Budapest,BUD,Warsaw,WAW,541,75,231.28
Budapest,BUD,Amsterdam,AMS,1171,125,287.7
Budapest,BUD,Frankfurt,FRA,837,105,266.21
Budapest,BUD,Milan,MXP,833,105,312.58
Budapest,BUD,Munich,MUC,567,80,268.86
Budapest,BUD,Barcelona,BCN,1525,155,319.05
Budapest,BUD,Vienna,VIE,216,50,221.58
Budapest,BUD,Copenhagen,CPH,1019,120,276.53
Budapest,BUD,Brussels,CRL,1133,125,336.21
Budapest,BUD,Madrid,MAD,1978,200,367.15
Budapest,BUD,Berlin,BER,686,90,263.16
Budapest,BUD,Paris,CDG,1250,150,329.63
Budapest,BUD,Bucharest,OTP,616,105,274.04
Budapest,BUD,Stuttgart,STR,762,95,255.25
Budapest,BUD,Brussels,BRU,1142,130,291.86
Budapest,BUD,Athens,ATH,1122,120,295.5
Budapest,BUD,Rome,CIA,819,100,266.38
Budapest,BUD,Helsinki,HEL,1481,140,310.36
Budapest,BUD,Milan,BGY,758,95,308.69
Budapest,BUD,Rome,FCO,837,110,288.94
Budapest,BUD,Naples,NAP,828,105,260.95
Budapest,BUD,Stockholm,ARN,1362,138,338.41
Budapest,BUD,Dublin,DUB,1918,195,353.69
Budapest,BUD,Dusseldorf,DUS,1001,110,263.43
Budapest,BUD,Eindhoven,EIN,1098,135,316.21
Budapest,BUD,Malta,MLA,1345,140,294.11
Budapest,BUD,Larnaca,LCA,1836,175,380.97
Budapest,BUD,Lisbon,LIS,2485,240,393.68
Budapest,BUD,Paris,ORY,1264,145,312.13
Budapest,BUD,Prague,PRG,472,75,237.55
Budapest,BUD,Valencia,VLC,1817,180,338.71
Budapest,BUD,Malaga,AGP,2286,220,377.57
